config_id,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_rate,batch_size,n_steps,clip_range,ent_coef,n_epochs,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,comfort_action_fraction,challenge_action_fraction,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions,is_baseline,z_mean_episode_reward,z_success_rate,z_learning_gain,z_final_knowledge,z_adaptation_accuracy,balanced_score,rank_by_reward,rank_by_mastery,rank_balanced
b36fb7213587,42,50000,1000,48.9,0.0001,256,512,0.1,0.1,3,3.028595304043818,0.025,0.30060265120841356,0.515401706488534,0.5087817391304348,0.0042792203159048295,0.6922846052262995,0.5752090506742694,0.18615948553460163,0.4999599823922526,0.5000400176077474,1.0397124453560767,False,"{'hint': 0.0, 'scaffold': 0.5, 'encouragement': 0.26, 'simplify_problem': 0.24, 'harder_problem': 0.0, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.0}",[],False,-2.2582929546647716,-0.9435283360014589,-0.46502422246151454,-0.41917694044530335,0.5258145902610839,-0.7120415726623929,2251,2251,1875
ba5ce6b685ff,42,50000,1000,100.1,0.001,32,1024,0.2,0.05,5,3.102688730548139,0.052,0.28848428660368336,0.503426854070206,0.4318431788532099,0.004042610691214902,0.6821048837628402,0.5716856597887663,0.17811735511390675,0.5475461044031957,0.4308884483690755,1.5644027733120507,False,"{'hint': 0.0216, 'scaffold': 0.3531, 'encouragement': 0.224, 'simplify_problem': 0.2535, 'harder_problem': 0.056, 'break': 0.07, 'explanation': 0.0218, 'no_action': 0.0}",[],False,-1.8269344673648056,-0.36440793654235837,-0.6222934409423486,-0.645934565037025,-0.11664603662574322,-0.7152432893024561,2176,2176,1876
d749cbcf9971,42,50000,1000,52.4,0.0001,128,1024,0.2,0.1,3,3.0283522414861497,0.024,0.30043432005786586,0.5153074347611062,0.5088217391304347,0.004277334051399888,0.6923246228340469,0.5752163678920038,0.1861578310598424,0.5,0.5,1.0393211124156494,False,"{'hint': 0.0, 'scaffold': 0.5, 'encouragement': 0.26, 'simplify_problem': 0.24, 'harder_problem': 0.0, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.0}",[],False,-2.259708020779832,-0.9649772396851294,-0.46720878360950013,-0.42096208419746955,0.526148602555866,-0.7173415051432129,2252,2252,1877
3cefd40f6e8f,42,50000,1000,59.5,0.0001,64,1024,0.3,0.05,3,3.0283522414861497,0.024,0.30043432005786586,0.5153074347611062,0.5088217391304347,0.004277334051399888,0.6923246228340469,0.5752163678920038,0.1861578310598424,0.5,0.5,1.0393211124156494,False,"{'hint': 0.0, 'scaffold': 0.5, 'encouragement': 0.26, 'simplify_problem': 0.24, 'harder_problem': 0.0, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.0}",[],False,-2.259708020779832,-0.9649772396851294,-0.46720878360950013,-0.42096208419746955,0.526148602555866,-0.7173415051432129,2253,2253,1878
cee67e75573f,42,50000,1000,102.4,0.0005,32,4096,0.1,0.1,5,3.2402182440454714,0.029,0.2851482420420616,0.5037078553713625,0.3978037177372147,0.004045321284413226,0.6544410428797247,0.5677389175301067,0.1723417164554139,0.3684294775596775,0.43650079036356726,1.6715175617651084,False,"{'hint': 0.0, 'scaffold': 0.3517, 'encouragement': 0.1641, 'simplify_problem': 0.1675, 'harder_problem': 0.0461, 'break': 0.0369, 'explanation': 0.0387, 'no_action': 0.1951}",[],False,-1.0262625899770086,-0.8577327212667775,-0.6655878241480416,-0.6406134817091083,-0.40088599963874555,-0.7182165233479363,1912,1912,1879
fd6aa3ae6bb4,42,50000,1000,150.3,0.0001,32,1024,0.2,0.05,10,3.2883801512316895,0.023,0.27572190177015227,0.4953580728476581,0.4124344680851064,0.0038769300177504394,0.6397367684122095,0.5758809861012721,0.17417812590441545,0.4425131015721887,0.4093291194943393,1.5133210877498025,False,"{'hint': 0.0, 'scaffold': 0.3875, 'encouragement': 0.2379, 'simplify_problem': 0.1549, 'harder_problem': 0.0218, 'break': 0.0497, 'explanation': 0.0, 'no_action': 0.1482}",[],False,-0.7458727037282364,-0.9864261433687997,-0.7879205989119674,-0.7987262320620733,-0.27871473718644235,-0.7195320830515038,1766,1766,1880
7b8063b8d648,42,50000,1000,105.5,0.0005,32,2048,0.1,0.1,5,3.3332307374363848,0.023,0.27402836719077744,0.49584937217358765,0.38165999999999994,0.0038862907726668994,0.63102,0.5770236920326182,0.1758997706948882,0.4418,0.4169,1.675344867341443,False,"{'hint': 0.0, 'scaffold': 0.3475, 'encouragement': 0.2288, 'simplify_problem': 0.1474, 'harder_problem': 0.0341, 'break': 0.0656, 'explanation': 0.0353, 'no_action': 0.1413}",[],False,-0.4847607275039249,-0.9864261433687997,-0.8098988829837789,-0.7894229133889521,-0.5356910048320279,-0.7212399344154967,1610,1610,1881
e65eb22f4046,42,50000,1000,96.1,0.0001,64,2048,0.2,0.05,10,3.2321823279724113,0.027,0.28262759572351376,0.502375654049485,0.41303032906039383,0.004018584587403305,0.6569290487814639,0.5691404317073581,0.17304936110586866,0.37158349673856494,0.4389931569890752,1.5493667081518092,False,"{'hint': 0.0, 'scaffold': 0.3793, 'encouragement': 0.2057, 'simplify_problem': 0.1573, 'harder_problem': 0.0323, 'break': 0.0086, 'explanation': 0.0274, 'no_action': 0.1894}",[],False,-1.073046235502466,-0.9006305286341183,-0.6983001652530345,-0.665840248325834,-0.2737391148932622,-0.7223112585217428,1938,1938,1882
03c2cb27352c,42,50000,1000,101.8,0.0005,32,512,0.3,0.05,5,3.408592487019653,0.011,0.268615821497677,0.4942793048326535,0.37118,0.003854889425848218,0.54474,0.5879313894026688,0.18676493272279684,0.29204,0.37678,1.4138006764411553,False,"{'hint': 0.0, 'scaffold': 0.3503, 'encouragement': 0.2006, 'simplify_problem': 0.0825, 'harder_problem': 0.0208, 'break': 0.0089, 'explanation': 0.0058, 'no_action': 0.3312}",[],False,-0.04601829333371412,-1.2438129875728445,-0.8801415979796169,-0.8191539470787172,-0.6232022260650951,-0.7224658104059976,1305,1305,1883
bf1493daefdd,42,50000,1000,70.1,0.0005,128,4096,0.1,0.01,10,3.2137139742051803,0.032,0.2804477091444306,0.5002258600407659,0.42104701086956525,0.00397556978071398,0.6531073672415862,0.5741543225898065,0.17201459164311855,0.5857777422065709,0.41422225779342914,1.4892511059172486,False,"{'hint': 0.0, 'scaffold': 0.3395, 'encouragement': 0.2593, 'simplify_problem': 0.2098, 'harder_problem': 0.0747, 'break': 0.1167, 'explanation': 0.0, 'no_action': 0.0}",[],False,-1.1805656406616913,-0.7933860102157663,-0.7265902084933118,-0.7065490742678193,-0.20679735770266008,-0.7227776582682498,1983,1983,1884
