config_id,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_rate,batch_size,n_steps,clip_range,ent_coef,n_epochs,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,comfort_action_fraction,challenge_action_fraction,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions,is_baseline
60460b2d1c95,42,50000,1000,64.6,0.001,128,512,0.2,0.01,10,3.553388384912041,0.114,0.3883367604604212,0.5719001261362295,0.5113371462492496,0.005414886693290344,0.405107150010014,0.5740101810188081,0.16787364938414812,0.45411576206689364,0.5442419387141999,1.3317568493412677,False,"{'hint': 0.0009, 'scaffold': 0.4659, 'encouragement': 0.2363, 'simplify_problem': 0.0093, 'harder_problem': 0.0453, 'break': 0.2085, 'explanation': 0.033, 'no_action': 0.0008}",[],False
682bbf19c629,42,50000,1000,47.2,0.001,128,512,0.2,0.1,3,3.475632984090824,0.194,0.4269995015494597,0.595438506891684,0.5969671654611746,0.005926672178895774,0.47674934462593266,0.5746640088280575,0.18037187665691604,0.40336761443839486,0.5966323855616051,1.4870489469682633,False,"{'hint': 0.0, 'scaffold': 0.4129, 'encouragement': 0.1619, 'simplify_problem': 0.0985, 'harder_problem': 0.1821, 'break': 0.1429, 'explanation': 0.0016, 'no_action': 0.0}",[],False
83e982fb1e63,42,50000,1000,51.9,0.001,128,512,0.2,0.1,5,3.524630525730726,0.162,0.4233197417911093,0.5949356521172622,0.552269433833271,0.0059031994402040065,0.3884551929499819,0.5749249429510355,0.172399103657294,0.4151945595750674,0.5848054404249325,1.424339166490345,False,"{'hint': 0.0, 'scaffold': 0.4203, 'encouragement': 0.2266, 'simplify_problem': 0.0075, 'harder_problem': 0.1329, 'break': 0.1811, 'explanation': 0.0316, 'no_action': 0.0}",[],False
2c0afbca3421,42,50000,1000,65.4,0.001,128,512,0.2,0.05,10,3.209045322153094,0.048,0.27869526139391826,0.4964933408402078,0.3761158802472003,0.003902604437904659,0.6064937144687325,0.5663774726096855,0.17559635115087743,0.43818560333093126,0.3683241252302026,1.7726573575389073,False,"{'hint': 0.0974, 'scaffold': 0.3346, 'encouragement': 0.115, 'simplify_problem': 0.1291, 'harder_problem': 0.0312, 'break': 0.1941, 'explanation': 0.0025, 'no_action': 0.0961}",[],False
b296abd346dc,42,50000,1000,47.2,0.001,128,512,0.3,0.001,3,3.645093860066418,0.123,0.4484213462767358,0.6167184405164082,0.5014233597329927,0.006314027144039537,0.4579710725589968,0.573629564738725,0.19165459703647372,0.23885171681557754,0.7611482831844224,1.048186659970945,False,"{'hint': 0.0, 'scaffold': 0.5, 'encouragement': 0.2389, 'simplify_problem': 0.0, 'harder_problem': 0.0014, 'break': 0.0, 'explanation': 0.2597, 'no_action': 0.0}",[],False
e36c44f44e01,42,50000,1000,53.3,0.001,128,512,0.3,0.001,5,3.548127325914729,0.095,0.38745778110097695,0.5699850770834336,0.509372290148088,0.005376424336448117,0.5753539885041357,0.5768339361495967,0.18356339076586156,0.321163205223208,0.6788367947767919,1.236491352536132,False,"{'hint': 0.0, 'scaffold': 0.499, 'encouragement': 0.2445, 'simplify_problem': 0.0767, 'harder_problem': 0.0104, 'break': 0.0, 'explanation': 0.1695, 'no_action': 0.0}",[],False
2832c086e1e2,42,50000,1000,48.4,0.001,128,512,0.3,0.01,3,3.632843928567038,0.106,0.4398078035042028,0.6107276467226755,0.5006235113619917,0.006192277761404168,0.45608026916606587,0.5748035902362739,0.19057409107849094,0.25995353681006167,0.7400464631899383,1.0393537605450003,False,"{'hint': 0.0, 'scaffold': 0.5, 'encouragement': 0.26, 'simplify_problem': 0.0, 'harder_problem': 0.0, 'break': 0.0, 'explanation': 0.2401, 'no_action': 0.0}",[],False
6d2c07c01820,42,50000,1000,68.0,0.001,128,512,0.2,0.1,10,3.287627021082615,0.09,0.3384359324329714,0.5358231530935417,0.27639698407637614,0.004691959777972906,0.6118876917531141,0.5600747240219831,0.18230642067996705,0.2918252092762446,0.5281771938959426,1.804876078241154,False,"{'hint': 0.0012, 'scaffold': 0.1583, 'encouragement': 0.0229, 'simplify_problem': 0.1949, 'harder_problem': 0.1177, 'break': 0.074, 'explanation': 0.2522, 'no_action': 0.1788}",[],False
7a8ac59b89da,42,50000,1000,68.1,0.001,128,512,0.3,0.001,10,3.5108015818047904,0.082,0.3579236917594416,0.5495117224119577,0.45418248745793244,0.004966093020220994,0.47182280610405736,0.5743528846654855,0.1744278036997289,0.4433051628149157,0.5132775263347619,1.5503911150726317,False,"{'hint': 0.0322, 'scaffold': 0.4283, 'encouragement': 0.2578, 'simplify_problem': 0.0446, 'harder_problem': 0.0261, 'break': 0.141, 'explanation': 0.059, 'no_action': 0.0112}",[],False
0761fc7edac3,42,50000,1000,55.0,0.001,128,512,0.3,0.01,5,3.6344867290538008,0.115,0.4411024033440994,0.6118413573663543,0.500488029540825,0.006216325249932119,0.4566689370567731,0.5744616053240674,0.19087056791539925,0.2559197083216475,0.7437397331623863,1.042231903241902,False,"{'hint': 0.0003, 'scaffold': 0.4999, 'encouragement': 0.2559, 'simplify_problem': 0.0, 'harder_problem': 0.0, 'break': 0.0, 'explanation': 0.2438, 'no_action': 0.0}",[],False
