configuration,configuration_label,diversity_mode,diversity_amount,seed,irt_beta,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,elapsed_seconds,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,shannon_entropy,actions_used_above_1_percent,actions_used_above_5_percent,dominant_action_pct,top2_actions_pct,dominance_detected,hint,scaffold,encouragement,simplify_problem,harder_problem,break,explanation,no_action
D_repetition_penalty,Repetition Penalty -0.02 (D),penalty,0.02,13,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_D_repetition_penalty_s13/dqn_10000_steps.zip,0.4743626179771881,10:1,25.4,0.4752637921069474,0.6390238046795075,0.174,0.440085024438671,3.5160440778377433,0.0,1.4849469385480092,6,5,0.3797478519232313,0.6350277041676704,False,0.07974,0.379748,0.209588,0.0,0.06119,0.002971,0.25528,0.011483
D_repetition_penalty,Repetition Penalty -0.02 (D),penalty,0.02,21,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_D_repetition_penalty_s21/dqn_50000_steps.zip,0.6448461631359405,10:1,25.6,0.6799894076847645,0.7802763594512266,0.526,0.974539772259238,3.0008823171518357,0.0,0.8125783314357066,4,2,0.5110681369321922,0.9739960500329164,False,0.0,0.462928,0.015347,0.010574,0.511068,8.2e-05,0.0,0.0
D_repetition_penalty,Repetition Penalty -0.02 (D),penalty,0.02,99,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_D_repetition_penalty_s99/dqn_50000_steps.zip,0.6008313110443455,10:1,24.9,0.5987702110318888,0.7239065029418591,0.386,0.840482511944864,3.346673340687269,0.0,1.0553537996480742,3,3,0.4429296003246094,0.8397646581456685,False,0.0,0.44293,4.1e-05,0.15139,0.396835,0.0,0.008805,0.0
D_repetition_penalty,Repetition Penalty -0.02 (D),penalty,0.02,314,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_D_repetition_penalty_s314/dqn_40000_steps.zip,0.4001439959504352,10:1,25.0,0.368019972614994,0.5622343604893884,0.068,0.2234965853658536,2.791709212494724,0.0,1.3419158151916366,6,3,0.4663678924412788,0.723060301708615,False,0.466368,0.042215,0.256692,0.02825,0.181065,0.0,0.0,0.025409
E_strong_repetition_penalty,Strong Repetition Penalty -0.05 (E),penalty,0.05,42,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_E_strong_repetition_penalty_s42/dqn_30000_steps.zip,0.4094682853907714,10:1,24.8,0.4375178798718183,0.6136466858599137,0.102,0.4946415808752651,3.529649430566269,0.0,1.3190176198232126,5,4,0.4943113532569506,0.7347167694896243,False,0.0,0.494311,0.042825,0.001442,0.001242,0.142697,0.240405,0.077077
E_strong_repetition_penalty,Strong Repetition Penalty -0.05 (E),penalty,0.05,7,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_E_strong_repetition_penalty_s7/dqn_50000_steps.zip,0.49033331190743,10:1,25.0,0.50909542293381,0.6626930015843566,0.222,0.4935146548917525,3.4491989239298726,0.0,1.538317088755553,6,5,0.3958375185825063,0.6690104062035438,False,0.109004,0.395838,0.002049,0.041826,0.097553,0.0,0.273173,0.080558
E_strong_repetition_penalty,Strong Repetition Penalty -0.05 (E),penalty,0.05,13,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_E_strong_repetition_penalty_s13/dqn_40000_steps.zip,0.6840745392282401,10:1,24.8,0.6786497510595301,0.7791818365773036,0.532,0.9819746769294184,2.876119585396201,0.0,0.7486394752067459,3,2,0.644189677843524,0.9794953977646286,False,0.010273,0.335306,0.001685,0.008465,0.64419,0.0,8.2e-05,0.0
E_strong_repetition_penalty,Strong Repetition Penalty -0.05 (E),penalty,0.05,21,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_E_strong_repetition_penalty_s21/dqn_10000_steps.zip,0.6136114707800875,10:1,24.9,0.6496009637318989,0.758869751858847,0.472,0.8397939834984952,3.198879730560794,0.0,1.1307257412660774,4,4,0.4906023504361,0.8427992301707546,False,0.086606,0.490602,4.1e-05,0.003685,0.352197,0.0,0.066869,0.0
E_strong_repetition_penalty,Strong Repetition Penalty -0.05 (E),penalty,0.05,99,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_E_strong_repetition_penalty_s99/dqn_10000_steps.zip,0.5354919282408378,10:1,24.9,0.5275429172735616,0.6730061684608484,0.226,0.6632004440207783,3.5275072446754128,0.0,1.178801945904472,4,3,0.3437726431044199,0.6633121326785283,False,0.000805,0.319539,0.000121,0.317849,0.343773,0.016867,0.0,0.001047
E_strong_repetition_penalty,Strong Repetition Penalty -0.05 (E),penalty,0.05,314,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_E_strong_repetition_penalty_s314/dqn_40000_steps.zip,0.6968092254761368,10:1,24.9,0.6753444327956659,0.7755411850145083,0.52,0.9682328394910106,2.7235404618688124,0.0,0.7323214363437114,3,2,0.699995892042887,0.9677936162346464,False,0.0,0.267798,0.026044,0.0,0.699996,0.000657,0.005135,0.00037
