configuration,configuration_label,seed,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,elapsed_seconds,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,actions_used_above_1_percent,actions_used_above_5_percent,dominant_action_pct,top2_actions_pct,dominance_detected,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action
B_nearly_equal_gains,Nearly Equal Gains (B),99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_B_nearly_equal_gains_s99/dqn_30000_steps.zip,0.5936511209771757,10:1,26.6,0.5958456486999418,0.7205519805336772,0.378,0.3442054206103285,2.9516178562237414,0.0,1.5237178518620411,6,5,0.3113997814738375,0.5745214681720692,False,0.263122,0.086035,0.063413,0.018494,0.257537,0.0,0.3114,0.0
B_nearly_equal_gains,Nearly Equal Gains (B),314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_B_nearly_equal_gains_s314/dqn_40000_steps.zip,0.5340321777473865,10:1,26.4,0.5103533094807013,0.661824107040065,0.172,0.5917262626262626,2.6735564035612858,0.0,1.6044431892202868,6,6,0.3429293131791027,0.5915961669540115,False,0.056052,0.248667,0.142536,0.000481,0.342929,0.055571,0.0,0.153763
C_explanation_focused,Explanation-Focused (C),42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_C_explanation_focused_s42/dqn_30000_steps.zip,0.5320202281368924,10:1,25.9,0.5664039786298761,0.7037215114151658,0.266,0.7065121453995226,3.164817564524337,0.0,1.2628667540218086,4,4,0.4913350838214502,0.7053928499293072,False,0.0,0.491335,0.000242,0.0,0.214058,0.006827,0.181499,0.106039
C_explanation_focused,Explanation-Focused (C),7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_C_explanation_focused_s7/dqn_40000_steps.zip,0.5444645051347056,10:1,24.9,0.5524158605957097,0.6915793167095226,0.334,0.7964803413237146,3.094340446614838,0.0,1.129115476722172,4,3,0.4164007271258331,0.7946677438901232,False,0.000848,0.378267,0.188002,0.003636,0.416401,0.0,0.012846,0.0
C_explanation_focused,Explanation-Focused (C),13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_C_explanation_focused_s13/dqn_40000_steps.zip,0.5797430988759696,10:1,24.7,0.5719227530086664,0.7072268431845126,0.344,0.8420602108650842,2.828638784985434,0.0,1.1766591970723814,5,3,0.4794819029173223,0.8425937134325949,False,0.0,0.363112,0.076383,0.000121,0.479482,0.035185,0.0,0.045717
C_explanation_focused,Explanation-Focused (C),21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_C_explanation_focused_s21/dqn_10000_steps.zip,0.6009022076780157,10:1,25.0,0.6393850377715525,0.7509140257813428,0.438,0.7725876654269189,3.055684047515322,0.0,1.211888174079102,4,4,0.4747993317850303,0.7770851159189993,False,0.06018,0.302286,0.008027,0.0,0.474799,0.0,0.154708,0.0
C_explanation_focused,Explanation-Focused (C),99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_C_explanation_focused_s99/dqn_30000_steps.zip,0.3690915987296886,10:1,25.0,0.3585811456292432,0.5572669945553591,0.056,0.1144637159237159,3.106749487667649,0.0,1.5156404348760757,6,5,0.4121581033999439,0.6165151575827961,False,0.412158,0.083737,0.195267,0.073846,0.030636,0.0,0.204357,0.0
C_explanation_focused,Explanation-Focused (C),314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_C_explanation_focused_s314/dqn_40000_steps.zip,0.3876107447956742,10:1,24.8,0.3608428989458257,0.5590180155131808,0.062,0.0759990243902439,3.2327036556254765,0.0,1.7206460642997194,8,4,0.293145532391661,0.5535592813412828,False,0.293146,0.044896,0.191229,0.044736,0.029251,0.012124,0.260414,0.124205
D_scaffold_penalized,Scaffold-Penalized (D),42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_D_scaffold_penalized_s42/dqn_30000_steps.zip,0.5186678583879256,10:1,24.9,0.5471093395719936,0.689187451422736,0.264,0.82537637239848,2.7465418462791584,0.0,1.223383784325304,5,3,0.460264366889659,0.8203433545579109,False,0.02285,0.360079,0.000443,0.039091,0.460264,0.0,0.008544,0.108729
D_scaffold_penalized,Scaffold-Penalized (D),7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_D_scaffold_penalized_s7/dqn_20000_steps.zip,0.5233861184159222,10:1,25.9,0.5330731154612995,0.6772755539677352,0.298,0.5890143041101836,3.3692915011973015,0.0,1.5025829288050272,5,5,0.3994107913959401,0.5957060414060293,False,0.108479,0.399411,0.101174,0.0,0.189112,0.0,0.196295,0.005529
D_scaffold_penalized,Scaffold-Penalized (D),13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_D_scaffold_penalized_s13/dqn_10000_steps.zip,0.4055235932768375,10:1,24.8,0.4089887165527034,0.5968651941486293,0.082,0.1319351162790698,3.307479217776921,0.0,1.555296633099265,5,5,0.3309050154104791,0.5583796981947724,False,0.227475,0.131049,0.143618,0.00024,0.000841,0.0002,0.330905,0.165673
D_scaffold_penalized,Scaffold-Penalized (D),21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_D_scaffold_penalized_s21/dqn_10000_steps.zip,0.5735180941769855,10:1,24.9,0.6110714572234772,0.7303445562262516,0.4,0.6837480629425298,3.006377208285394,0.0,1.2723228247316611,4,4,0.4269010596402907,0.682148512037676,False,0.255247,0.254679,0.008445,0.003004,0.426901,0.0,0.051561,0.000162
D_scaffold_penalized,Scaffold-Penalized (D),99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_D_scaffold_penalized_s99/dqn_30000_steps.zip,0.4033689441931202,10:1,24.7,0.3960739436670906,0.5821070102648205,0.13,0.5267350017635021,3.2720089375470156,0.0,1.51100703113354,5,5,0.2853304459416105,0.5587504010266282,False,0.093038,0.27342,0.094041,0.28533,0.253048,0.0,0.0,0.001123
D_scaffold_penalized,Scaffold-Penalized (D),314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_D_scaffold_penalized_s314/dqn_40000_steps.zip,0.5037181525835281,10:1,24.8,0.4833998697388302,0.6416610215797205,0.18,0.2573794829566569,2.97235470178191,0.0,1.5396222255712062,6,4,0.3418117628179411,0.5954023910775896,False,0.341812,0.033218,0.253591,0.0,0.223421,0.000562,0.102744,0.044652
