probe_id,action,Q_hat,V_s,A_hat,prob,logit,ppo_action,dqn_action,harder_available
21,simplify_problem,5.308673690074557,4.713345527648926,0.5953281624256315,0.021917181089520454,-3.820484161376953,no_action,scaffold,1
21,harder_problem,5.4070390629338885,4.713345527648926,0.6936935352849627,0.1432044804096222,-1.9434815645217896,no_action,scaffold,1
21,explanation,5.558645476327734,4.713345527648926,0.8452999486788082,0.06754467636346817,-2.6949658393859863,no_action,scaffold,1
21,no_action,5.252014153021937,4.713345527648926,0.5386686253730115,0.32841944694519043,-1.1134635210037231,no_action,scaffold,1
22,hint,5.434202509901866,4.940933704376221,0.4932688055256449,0.020922955125570297,-3.866908550262451,no_action,scaffold,1
22,scaffold,5.21998745667112,4.940933704376221,0.2790537522948995,0.0836172103881836,-2.481505870819092,no_action,scaffold,1
22,encouragement,5.299688918224502,4.940933704376221,0.3587552138482817,0.3397776782512665,-1.0794637203216553,no_action,scaffold,1
22,simplify_problem,5.541437509963466,4.940933704376221,0.6005038055872456,0.024087777361273766,-3.726050853729248,no_action,scaffold,1
22,harder_problem,5.2625809991386,4.940933704376221,0.3216472947623794,0.12241329252719879,-2.1003522872924805,no_action,scaffold,1
22,explanation,5.3811923029734805,4.940933704376221,0.4402585985972598,0.0613301657140255,-2.7914834022521973,no_action,scaffold,1
22,no_action,5.140234019735218,4.940933704376221,0.19930031535899762,0.34785082936286926,-1.0559815168380737,no_action,scaffold,1
23,hint,5.430360406270143,5.050418853759766,0.37994155251037753,0.0952313244342804,-2.3514461517333984,no_action,scaffold,1
23,scaffold,5.391393609591024,5.050418853759766,0.34097475583125814,0.14347757399082184,-1.941576361656189,no_action,scaffold,1
23,simplify_problem,5.447765370194679,5.050418853759766,0.39734651643491326,0.2195422500371933,-1.5162104368209839,no_action,scaffold,1
23,harder_problem,5.272143677494335,5.050418853759766,0.22172482373456948,0.026303818449378014,-3.6380410194396973,no_action,scaffold,1
23,explanation,5.279034750649939,5.050418853759766,0.22861589689017325,0.15213477611541748,-1.8829883337020874,no_action,scaffold,1
23,no_action,5.300272649634606,5.050418853759766,0.24985379587484058,0.36331018805503845,-1.012498140335083,no_action,scaffold,1
24,scaffold,5.0795813483822405,5.007514953613281,0.07206639476895926,0.07515060156583786,-2.588261127471924,no_action,scaffold,1
24,simplify_problem,5.458622249790891,5.007514953613281,0.4511072961776099,0.061398960649967194,-2.7903623580932617,no_action,scaffold,1
24,harder_problem,5.127235455183056,5.007514953613281,0.1197205015697751,0.04368084669113159,-3.130845546722412,no_action,scaffold,1
24,break,5.263014254058758,5.007514953613281,0.25549930044547686,0.2585194408893585,-1.3527843952178955,no_action,scaffold,1
24,explanation,4.99502078527481,5.007514953613281,-0.01249416833847139,0.08683270961046219,-2.4437718391418457,no_action,scaffold,1
24,no_action,5.359799523123023,5.007514953613281,0.35228456950974163,0.47441741824150085,-0.7456676959991455,no_action,scaffold,1
25,hint,1.8189297465291614,4.909390449523926,-3.0904607029947644,0.05628836527466774,-2.877267599105835,no_action,scaffold,1
25,scaffold,1.6718215226985176,4.909390449523926,-3.237568926825408,0.09832028299570084,-2.3195250034332275,no_action,scaffold,1
25,simplify_problem,1.7791945641046,4.909390449523926,-3.130195885419326,0.08638955652713776,-2.4488885402679443,no_action,scaffold,1
25,harder_problem,1.6409410508309517,4.909390449523926,-3.268449398692974,0.046282801777124405,-3.0729849338531494,no_action,scaffold,1
25,explanation,1.4799414262750632,4.909390449523926,-3.4294490232488624,0.11490035057067871,-2.1636900901794434,no_action,scaffold,1
25,no_action,1.6906195371899537,4.909390449523926,-3.218770912333972,0.5978186726570129,-0.5144678354263306,no_action,scaffold,1
26,hint,1.4188226877769932,4.674861431121826,-3.256038743344833,0.09980759769678116,-2.304511070251465,encouragement,scaffold,1
26,scaffold,1.3919194856941948,4.674861431121826,-3.2829419454276314,0.09214369207620621,-2.384406089782715,encouragement,scaffold,1
26,encouragement,1.2290455355468803,4.674861431121826,-3.445815895574946,0.34135815501213074,-1.0748231410980225,encouragement,scaffold,1
26,simplify_problem,1.5381303640089241,4.674861431121826,-3.136731067112902,0.26969605684280396,-1.310459852218628,encouragement,scaffold,1
26,harder_problem,1.1408360011545702,4.674861431121826,-3.534025429967256,0.013472753576934338,-4.307085990905762,encouragement,scaffold,1
26,explanation,1.4973975777467987,4.674861431121826,-3.1774638533750275,0.08595103025436401,-2.453977584838867,encouragement,scaffold,1
26,no_action,1.251568574348624,4.674861431121826,-3.423292856773202,0.09757071733474731,-2.3271780014038086,encouragement,scaffold,1
27,hint,1.2623555495260055,4.8711137771606445,-3.608758227634639,0.08531635999679565,-2.4613890647888184,no_action,scaffold,1
27,scaffold,1.3681846400884203,4.8711137771606445,-3.502929137072224,0.11436385661363602,-2.168370246887207,no_action,scaffold,1
27,simplify_problem,1.4761543759951494,4.8711137771606445,-3.394959401165495,0.1541168987751007,-1.8700438737869263,no_action,scaffold,1
27,harder_problem,1.1670881875983958,4.8711137771606445,-3.7040255895622485,0.03591437637805939,-3.32661771774292,no_action,scaffold,1
27,explanation,1.3797213725688011,4.8711137771606445,-3.4913924045918434,0.13118991255760193,-2.03110933303833,no_action,scaffold,1
27,no_action,1.1753515865510855,4.8711137771606445,-3.695762190609559,0.4790986478328705,-0.7358487844467163,no_action,scaffold,1
28,hint,1.275430844047007,4.4647932052612305,-3.1893623612142235,0.11557156592607498,-2.157865285873413,simplify_problem,scaffold,1
28,scaffold,1.2424736534255492,4.4647932052612305,-3.2223195518356813,0.1679876744747162,-1.7838647365570068,simplify_problem,scaffold,1
28,simplify_problem,1.3650940003176053,4.4647932052612305,-3.099699204943625,0.3759578764438629,-0.9782782196998596,simplify_problem,scaffold,1
28,harder_problem,0.9784913792308874,4.4647932052612305,-3.486301826030343,0.014737597666680813,-4.217353343963623,simplify_problem,scaffold,1
28,break,1.4008163591080978,4.4647932052612305,-3.0639768461531327,0.1602432131767273,-1.8310625553131104,simplify_problem,scaffold,1
28,explanation,1.244581865117453,4.4647932052612305,-3.2202113401437775,0.10673417150974274,-2.2374138832092285,simplify_problem,scaffold,1
28,no_action,1.1789700225210211,4.4647932052612305,-3.2858231827402093,0.058767933398485184,-2.8341588973999023,simplify_problem,scaffold,1
29,hint,1.2225778407884655,4.676817893981934,-3.454240053193468,0.07896921038627625,-2.5386972427368164,no_action,scaffold,1
29,scaffold,1.224487118344626,4.676817893981934,-3.4523307756373076,0.1388753354549408,-1.9741785526275635,no_action,scaffold,1
29,harder_problem,1.1686178291488742,4.676817893981934,-3.5082000648330594,0.04891645908355713,-3.017641305923462,no_action,scaffold,1
29,break,1.203317454263634,4.676817893981934,-3.4735004397182996,0.2975810170173645,-1.2120686769485474,no_action,scaffold,1
29,explanation,1.1959382725344865,4.676817893981934,-3.480879621447447,0.11901014298200607,-2.1285464763641357,no_action,scaffold,1
29,no_action,1.3437817929002593,4.676817893981934,-3.3330361010816745,0.31664785742759705,-1.1499649286270142,no_action,scaffold,1
30,hint,1.2618687998856317,4.587909698486328,-3.3260408986006964,0.033781860023736954,-3.387831449508667,encouragement,explanation,1
30,encouragement,1.3678462438609118,4.587909698486328,-3.220063454625416,0.4087330400943756,-0.8946930766105652,encouragement,explanation,1
30,harder_problem,1.2385945393398643,4.587909698486328,-3.349315159146464,0.03178391233086586,-3.4487950801849365,encouragement,explanation,1
30,break,1.1982462626989934,4.587909698486328,-3.3896634357873348,0.18659672141075134,-1.6788055896759033,encouragement,explanation,1
30,explanation,1.311426512747289,4.587909698486328,-3.276483185739039,0.05708096921443939,-2.8632845878601074,encouragement,explanation,1
30,no_action,1.183563598995527,4.587909698486328,-3.404346099490801,0.28202342987060547,-1.2657651901245117,encouragement,explanation,1
31,hint,1.123320168544795,4.44920015335083,-3.325879984806035,0.09277646243572235,-2.3775625228881836,encouragement,scaffold,1
31,scaffold,1.3406397287740615,4.44920015335083,-3.1085604245767686,0.07604284584522247,-2.57645845413208,encouragement,scaffold,1
31,encouragement,1.1095059907337048,4.44920015335083,-3.3396941626171253,0.26854538917541504,-1.3147355318069458,encouragement,scaffold,1
31,simplify_problem,1.1952235512012546,4.44920015335083,-3.2539766021495753,0.24053524434566498,-1.4248888492584229,encouragement,scaffold,1
31,harder_problem,1.1898668294640835,4.44920015335083,-3.2593333238867466,0.010936022736132145,-4.515693187713623,encouragement,scaffold,1
31,break,0.9664905342252226,4.44920015335083,-3.4827096191256075,0.1612764149904251,-1.8246357440948486,encouragement,scaffold,1
31,explanation,1.0384487162031162,4.44920015335083,-3.410751437147714,0.0711432695388794,-2.643059730529785,encouragement,scaffold,1
