condition,condition_label,obs_space_variant,obs_dim,include_persistent_obs,obs_ablation,seed,gain_ratio,train_timesteps,eval_episodes,best_checkpoint_step,best_checkpoint_path,best_val_learning_gain,final_checkpoint_step,elapsed_seconds,final_learning_gain,final_final_knowledge,final_success_rate,final_adaptation_accuracy,final_mean_episode_reward,final_dropout_rate,final_action_diversity,final_dominant_action_share,best_learning_gain,best_final_knowledge,best_success_rate,best_adaptation_accuracy,best_mean_episode_reward,best_dropout_rate,best_action_diversity,best_dominant_action_share
C_v7_persistent_no_eid,"C: Persistent, No Emotion ID",C_v7_persistent_no_eid,7,True,no_emotion_id,42,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_C_v7_persistent_no_eid_6517e5d245_s42/dqn_50000_steps.zip,0.4420204633144428,50000,27.8,0.4762624470271539,0.6423004196621175,0.134,0.5702397843755851,3.4035971779895453,0.0,0.6488138885397968,0.4997395520294907,0.4762624470271539,0.6423004196621175,0.134,0.5702397843755851,3.4035971779895453,0.0,0.6488138885397968,0.4997395520294907
C_v7_persistent_no_eid,"C: Persistent, No Emotion ID",C_v7_persistent_no_eid,7,True,no_emotion_id,0,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_C_v7_persistent_no_eid_6517e5d245_s0/dqn_50000_steps.zip,0.5974812490387086,50000,27.9,0.6129347986234432,0.7383360519641542,0.434,0.844879412515366,2.9041006514119654,0.0,0.5224352540654543,0.5490340537000655,0.6129347986234432,0.7383360519641542,0.434,0.844879412515366,2.9041006514119654,0.0,0.5224352540654543,0.5490340537000655
C_v7_persistent_no_eid,"C: Persistent, No Emotion ID",C_v7_persistent_no_eid,7,True,no_emotion_id,1,10:1,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_C_v7_persistent_no_eid_6517e5d245_s1/dqn_20000_steps.zip,0.4732773471042397,50000,27.8,0.41407515227870717,0.5968340305882386,0.102,0.5895319047619048,3.240341452580752,0.0,0.6269923397233162,0.32505914905562017,0.4835530596455355,0.6486795348515052,0.184,0.6342540257063181,3.342623775610566,0.0,0.6431620255232948,0.492094068544827
C_v7_persistent_no_eid,"C: Persistent, No Emotion ID",C_v7_persistent_no_eid,7,True,no_emotion_id,7,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_C_v7_persistent_no_eid_6517e5d245_s7/dqn_50000_steps.zip,0.6498029255102573,50000,27.8,0.6482682123951641,0.7592788117410041,0.46,0.9271233312270756,2.8904928506695815,0.0,0.41356052186170367,0.6238089395984133,0.6482682123951641,0.7592788117410041,0.46,0.9271233312270756,2.8904928506695815,0.0,0.41356052186170367,0.6238089395984133
C_v7_persistent_no_eid,"C: Persistent, No Emotion ID",C_v7_persistent_no_eid,7,True,no_emotion_id,13,10:1,50000,500,30000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_C_v7_persistent_no_eid_6517e5d245_s13/dqn_30000_steps.zip,0.7009212148131272,50000,27.7,0.53984633124151,0.6856324694099339,0.276,0.6644010809709909,3.3705939111311505,0.0,0.6261559533123311,0.4447884831912498,0.6926358098994962,0.7894712794520335,0.546,0.4829613827953359,1.8931403844483403,0.0,0.05039881691639393,0.97965297715641
C_v7_persistent_no_eid,"C: Persistent, No Emotion ID",C_v7_persistent_no_eid,7,True,no_emotion_id,21,10:1,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_C_v7_persistent_no_eid_6517e5d245_s21/dqn_10000_steps.zip,0.5113659075897159,50000,27.8,0.26586987977617094,0.492928989720489,0.038,0.20990500000000004,2.9538125260201893,0.0,0.7985348220306201,0.32223200704507243,0.5527267061453207,0.6876078078564751,0.328,0.6641735861171055,3.3871504428032266,0.0,0.6603680183344831,0.3658072611000931
C_v7_persistent_no_eid,"C: Persistent, No Emotion ID",C_v7_persistent_no_eid,7,True,no_emotion_id,99,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_C_v7_persistent_no_eid_6517e5d245_s99/dqn_50000_steps.zip,0.43478158517777316,50000,27.7,0.4259826253753217,0.6040088348618714,0.102,0.4971653667199486,3.2542757997324014,0.0,0.3824987609662662,0.4945917795048474,0.4259826253753217,0.6040088348618714,0.102,0.4971653667199486,3.2542757997324014,0.0,0.3824987609662662,0.4945917795048474
C_v7_persistent_no_eid,"C: Persistent, No Emotion ID",C_v7_persistent_no_eid,7,True,no_emotion_id,100,10:1,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_C_v7_persistent_no_eid_6517e5d245_s100/dqn_40000_steps.zip,0.670428552138391,50000,27.3,0.658847016302505,0.7641408653609092,0.494,0.8640788785077564,3.1350067660793925,0.0,0.5214730655706256,0.4565528521774688,0.6778963499777595,0.7768794214969073,0.526,0.7747278373171368,2.5091816063945234,0.0,0.387700161025928,0.7548546691403835
C_v7_persistent_no_eid,"C: Persistent, No Emotion ID",C_v7_persistent_no_eid,7,True,no_emotion_id,200,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_C_v7_persistent_no_eid_6517e5d245_s200/dqn_50000_steps.zip,0.584560130903202,50000,26.9,0.579242419717583,0.7077128686798169,0.336,0.5978045808993034,2.808699902619781,0.0,0.680500943226447,0.4133274207852939,0.579242419717583,0.7077128686798169,0.336,0.5978045808993034,2.808699902619781,0.0,0.680500943226447,0.4133274207852939
C_v7_persistent_no_eid,"C: Persistent, No Emotion ID",C_v7_persistent_no_eid,7,True,no_emotion_id,314,10:1,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_C_v7_persistent_no_eid_6517e5d245_s314/dqn_10000_steps.zip,0.4384652962654926,50000,26.8,0.4023498780046951,0.5892075003406706,0.082,0.48355000000000004,3.612804705952164,0.0,0.6051482904692926,0.48367346938775513,0.421464787471117,0.5975932176832295,0.176,0.4107845832808056,3.314675334327415,0.0,0.8096792871196644,0.2307475657841796
