configuration,configuration_label,algorithm,seed,train_timesteps,eval_episodes,best_checkpoint_step,best_checkpoint_path,best_val_learning_gain,elapsed_seconds,source,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward
double_dqn,Double DQN (confirmation),DoubleDQN,21,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s21/double_dqn_20000_steps.zip,0.6205244864455859,24.3,trained,0.6517650543456299,0.7605900457348084,0.446,0.9421813880270539,1.5331731380978213
double_dqn,Double DQN (confirmation),DoubleDQN,99,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s99/double_dqn_50000_steps.zip,0.5094307058568162,26.2,trained,0.4951633931082113,0.6512647644200399,0.222,0.6484902031835267,2.1067734318005216
double_dqn,Double DQN (confirmation),DoubleDQN,100,50000,500,30000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s100/double_dqn_30000_steps.zip,0.466279877127782,26.1,trained,0.463306556792107,0.6286380654457405,0.184,0.6538854766699737,2.213292565353419
double_dqn,Double DQN (confirmation),DoubleDQN,200,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s200/double_dqn_20000_steps.zip,0.5612250944221643,26.2,trained,0.56055403590009,0.6973396618114452,0.284,0.7101340817352421,1.7117263961640257
double_dqn,Double DQN (confirmation),DoubleDQN,314,50000,500,30000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s314/double_dqn_30000_steps.zip,0.47528109159065474,26.2,trained,0.447311435927937,0.6180628625105131,0.142,0.5656662507350806,1.9864686094656276
double_dqn,Double DQN (confirmation),DoubleDQN,500,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s500/double_dqn_40000_steps.zip,0.6287305306588685,26.2,trained,0.6463890504696079,0.7529976895623872,0.466,0.9544400572605954,1.4007367179960597
double_dqn,Double DQN (confirmation),DoubleDQN,777,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s777/double_dqn_50000_steps.zip,0.610122054448128,26.3,trained,0.5886161136262233,0.7083253426191846,0.352,0.8364336465774455,1.912095319381217
double_dqn,Double DQN (confirmation),DoubleDQN,1234,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s1234/double_dqn_20000_steps.zip,0.46225012770041374,26.1,trained,0.47756431836850566,0.6369776418655928,0.188,0.5254276594424029,2.5023811740339927
double_dqn,Double DQN (confirmation),DoubleDQN,2024,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s2024/double_dqn_40000_steps.zip,0.6510912126717276,26.3,trained,0.6418021709851796,0.7505240252689521,0.422,0.9910911541067701,1.2554295333540546
double_dqn,Double DQN (confirmation),DoubleDQN,5555,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s5555/double_dqn_10000_steps.zip,0.49356478167931656,26.2,trained,0.4826853552926607,0.6374682179114475,0.186,0.4851285726388326,2.5410094536915357
double_dqn,Double DQN (confirmation),DoubleDQN,8888,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s8888/double_dqn_50000_steps.zip,0.5585563498546987,26.3,trained,0.5812958988244697,0.7064937960069617,0.344,0.7334278127327318,1.6360439118245866
double_dqn,Double DQN (confirmation),DoubleDQN,9999,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s9999/double_dqn_10000_steps.zip,0.6155487269650513,26.2,trained,0.624867572402425,0.7388653149617732,0.416,0.9201781589622409,1.4569771114688184
double_dqn,Double DQN (confirmation),DoubleDQN,10101,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s10101/double_dqn_10000_steps.zip,0.6371620538241124,26.0,trained,0.6141447911102803,0.7309408944157563,0.414,0.7756496843628079,1.8046454618360013
double_dqn,Double DQN (confirmation),DoubleDQN,20202,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s20202/double_dqn_40000_steps.zip,0.5326137141091014,26.2,trained,0.5282390787615912,0.6708467001880773,0.292,0.7116491015823894,1.6317412957303075
double_dqn,Double DQN (confirmation),DoubleDQN,30303,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s30303/double_dqn_20000_steps.zip,0.5847859887619539,25.8,trained,0.6019573475218539,0.7205688249760388,0.412,0.8797679962368475,1.5699526760516425
