condition,condition_label,obs_ablation,seed,gain_ratio,train_timesteps,eval_episodes,best_checkpoint_step,best_checkpoint_path,best_val_learning_gain,final_checkpoint_step,elapsed_seconds,final_learning_gain,final_final_knowledge,final_success_rate,final_adaptation_accuracy,final_mean_episode_reward,final_mean_confusion_variance,final_mean_boredom_variance,final_mean_emotion_id_switches,final_std_confusion_variance,final_std_boredom_variance,best_learning_gain,best_final_knowledge,best_success_rate,best_adaptation_accuracy,best_mean_episode_reward,best_mean_confusion_variance,best_mean_boredom_variance,best_mean_emotion_id_switches,best_std_confusion_variance,best_std_boredom_variance
A_full_emotion,A: Full Emotion,full_emotion,777,10:1,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s777/dqn_10000_steps.zip,0.6070320636550673,50000,42.4,0.14303081202267542,0.3998500025766477,0.002,0.02932,2.828612834461462,0.0034073198034211723,0.016737001277632387,1.91,0.0020499694485496267,0.017608656197794146,0.5886484622026055,0.7087612911975582,0.34,0.8236091755081663,3.264079765450576,0.008820565028688183,0.00124643787847695,0.048,0.0020397846804177176,0.00027216485899166467
A_full_emotion,A: Full Emotion,full_emotion,1234,10:1,50000,500,30000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s1234/dqn_30000_steps.zip,0.48467547020474067,50000,42.5,0.30381693212588845,0.516527712576773,0.036,0.42168279069767434,2.989321804009177,0.0020931615352132653,0.01446918496030645,5.812,0.0006694744653960084,0.012216464205173019,0.49869732806159484,0.6507252929172204,0.196,0.4679483841446937,3.3056691250346497,0.0077205590418598785,0.0013368255405242025,0.016,0.0036403479219266365,0.00033328773160869066
A_full_emotion,A: Full Emotion,full_emotion,2024,10:1,50000,500,30000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s2024/dqn_30000_steps.zip,0.6180284532348015,50000,42.2,0.33951316352726246,0.5400359220946116,0.05,0.4045341372912802,3.3204104572667976,0.0023991590973173674,0.0056229330799550895,0.602,0.0008896133267031998,0.006540916523946994,0.6088747092097577,0.7264062711326811,0.374,0.8213550012840998,3.2955300563385608,0.008009680943826833,0.0012879553025600843,0.13,0.004145216121675253,0.0005281146827787834
A_full_emotion,A: Full Emotion,full_emotion,5555,10:1,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s5555/dqn_40000_steps.zip,0.54299879348276,50000,42.2,0.23200152826359027,0.46530595338965086,0.026,0.06516979591836736,3.1741616788778044,0.0029054548581823863,0.009305023235076251,2.336,0.0014786857009330585,0.008067622467725294,0.5375863517941407,0.6824997559610413,0.232,0.6913648213342888,2.974687238058782,0.008963039746080629,0.0013381388209522498,0.272,0.003691813750098237,0.0019247403103931585
D_no_emotion_id,D: No Emotion ID,no_emotion_id,42,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s42/dqn_50000_steps.zip,0.6286072503342703,50000,42.3,0.6587592493764461,0.7651763357004957,0.47,0.9649571199877361,2.971597442182123,0.011020432442434641,0.0011615795947855913,0.512,0.0027531724268851456,0.0002662070299455754,0.6587592493764461,0.7651763357004957,0.47,0.9649571199877361,2.971597442182123,0.011020432442434641,0.0011615795947855913,0.512,0.0027531724268851456,0.0002662070299455754
D_no_emotion_id,D: No Emotion ID,no_emotion_id,0,10:1,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s0/dqn_40000_steps.zip,0.6775993753208744,50000,42.2,0.360336636107637,0.5609002796246275,0.046,0.49372,3.4882793074902154,0.0033926759497917482,0.004496837990739078,0.56,0.002453831737190319,0.007395128711594264,0.6950391879850387,0.7909011403331377,0.558,0.9916017024079838,2.753816755401032,0.011943061934811173,0.0010594902677879903,4.348,0.0025910359413200347,0.00025489694148105025
D_no_emotion_id,D: No Emotion ID,no_emotion_id,1,10:1,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s1/dqn_20000_steps.zip,0.5821846220240962,50000,42.6,0.3124909497909846,0.5271735422950269,0.032,0.45082086956521744,3.0424467589191746,0.002354833164406107,0.016318131427860216,3.548,0.0011340587566271443,0.014165519500271251,0.5944020724832445,0.7215277753442474,0.394,0.7528951432708978,3.113239392108573,0.009097721085027651,0.0013339361855223897,0.24,0.003849313462358488,0.000776284986816747
D_no_emotion_id,D: No Emotion ID,no_emotion_id,7,10:1,50000,500,30000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s7/dqn_30000_steps.zip,0.5998082212854801,50000,41.9,0.5416150807964598,0.6848218006268539,0.292,0.5672098911749629,3.576449455210991,0.004562142244320527,0.0012543248644633946,0.004,0.0021962214819194322,0.00029662923526958216,0.6137366660502747,0.7358955524687363,0.414,0.7580420714156811,2.884254770154167,0.009592990187602802,0.001161798164008499,1.626,0.0027234018098412304,0.00032090210588811726
D_no_emotion_id,D: No Emotion ID,no_emotion_id,13,10:1,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s13/dqn_40000_steps.zip,0.6865025267631233,50000,41.9,0.325340800704931,0.5381695310462594,0.038,0.46848,3.469869506290931,0.003428119221243119,0.0063270413053244014,1.434,0.00212621880861376,0.00945455959221743,0.6795952273896978,0.780714270505086,0.538,0.9959294648511925,2.7975017654466883,0.010158304901531011,0.001077925905118006,0.986,0.0018858595988535622,0.0002463423932980472
D_no_emotion_id,D: No Emotion ID,no_emotion_id,21,10:1,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s21/dqn_40000_steps.zip,0.6454200625762353,50000,41.3,0.2817193984385537,0.5047959083058158,0.058,0.03204534166819881,3.0556002042132304,0.0027482766510873863,0.0012662486532658815,0.004,0.0013838241216773462,0.000371578443906606,0.675823824979735,0.7786454146366852,0.53,0.9473724511131427,2.842225899608606,0.011304531570199098,0.001105430285477845,2.754,0.002588767818668657,0.00027170858311243454
D_no_emotion_id,D: No Emotion ID,no_emotion_id,99,10:1,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s99/dqn_40000_steps.zip,0.4486562005872476,50000,42.1,0.4204144133434984,0.5999625917510913,0.1,0.3545359510232746,3.1675431739664,0.0015564150381405424,0.002403060262476896,0.216,0.00036975011535782856,0.004812423084684773,0.4374323729461416,0.6120869716618729,0.14,0.34817214181699596,3.405303387993552,0.0054885742378987246,0.0019386120010466898,0.17,0.003085676446198569,0.002368107329110823
D_no_emotion_id,D: No Emotion ID,no_emotion_id,100,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s100/dqn_50000_steps.zip,0.6665395202773426,50000,41.7,0.6740501048557047,0.775244301869171,0.522,0.9532288239613814,2.8904973068000364,0.00993231556123953,0.0010769935526891,0.7,0.0019141721805813706,0.0002369529454221126,0.6740501048557047,0.775244301869171,0.522,0.9532288239613814,2.8904973068000364,0.00993231556123953,0.0010769935526891,0.7,0.0019141721805813706,0.0002369529454221126
D_no_emotion_id,D: No Emotion ID,no_emotion_id,200,10:1,50000,500,30000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s200/dqn_30000_steps.zip,0.6732518234651232,50000,41.9,0.6719720624618457,0.771486611029882,0.526,0.9630571298464449,2.7021470392704,0.01180116882141113,0.001071341136910609,4.198,0.0030865700604552947,0.0002557551125411825,0.6738069283534917,0.7731068164413323,0.53,0.9822821003956392,2.756477055525813,0.010513431318148664,0.0010892543037058868,1.532,0.002230734562541411,0.00027186732666077316
D_no_emotion_id,D: No Emotion ID,no_emotion_id,314,10:1,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s314/dqn_20000_steps.zip,0.4360954556070986,50000,42.5,0.38538633684423573,0.5765962934499825,0.068,0.2690653658536586,3.4172477211351877,0.003631239838734135,0.0019802761990777283,0.09,0.0026339259089385933,0.00401053410567413,0.4103867620171426,0.5942527430877026,0.076,0.44971510204081633,3.5347575515130742,0.0035328858493557562,0.0022468732497266234,0.138,0.002867711937524817,0.0047154192321767225
D_no_emotion_id,D: No Emotion ID,no_emotion_id,500,10:1,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s500/dqn_40000_steps.zip,0.6749005586976583,50000,41.9,0.49336327873684127,0.6447426994247029,0.218,0.5914496656472005,3.486322050797089,0.004827634728297055,0.0012634225347998242,0.004,0.003586090378252341,0.0004147882299308256,0.6818733849036657,0.7792250902339966,0.532,0.9955099077967183,2.8824219115418668,0.012237548024445537,0.0011334329352691787,1.766,0.0026615675530896454,0.00025726976496848143
D_no_emotion_id,D: No Emotion ID,no_emotion_id,777,10:1,50000,500,30000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s777/dqn_30000_steps.zip,0.5957998299615481,50000,41.7,0.16607439064605647,0.4180688042774958,0.0,0.21268,3.1047402706301073,0.0035175252466751986,0.00133765731539015,0.024,0.0024785906988790073,0.0017343703455780545,0.5814846747449733,0.7092610211309468,0.296,0.8299330027795452,2.945429778390146,0.010794730043891455,0.001220275398604119,0.394,0.0037865578701602146,0.00030595906077925605
D_no_emotion_id,D: No Emotion ID,no_emotion_id,1234,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_D_no_emotion_id_ef67ec285c_s1234/dqn_50000_steps.zip,0.46107228332095007,50000,42.5,0.49128164258284257,0.6477997429158745,0.23,0.45489339799077905,2.9275582991665603,0.007534879060415699,0.0029715741982445742,2.404,0.006342185998034284,0.0036836921123058635,0.49128164258284257,0.6477997429158745,0.23,0.45489339799077905,2.9275582991665603,0.007534879060415699,0.0029715741982445742,2.404,0.006342185998034284,0.0036836921123058635
