config_id,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_rate,batch_size,buffer_size,target_update_interval,exploration_fraction,exploration_final_eps,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,comfort_action_fraction,challenge_action_fraction,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions,is_baseline
eb8e1909b21c,42,50000,1000,31.3,0.0003,32,10000,5000,0.2,0.01,3.2025298606259254,0.406,0.6143700939805601,0.72954032520295,0.8512973950483477,0.00870619986702279,0.2614674233640487,0.5768899289343562,0.2225488425518736,0.13740566709383453,0.8532373222676513,1.0814051607337256,False,"{'hint': 0.0033, 'scaffold': 0.4926, 'encouragement': 0.1312, 'simplify_problem': 0.0093, 'harder_problem': 0.3573, 'break': 0.0038, 'explanation': 0.0, 'no_action': 0.0024}",[],False
49ff8b5252bf,42,50000,1000,30.1,0.0003,32,10000,5000,0.2,0.1,3.3806162326905462,0.243,0.5080109419016883,0.656060331253865,0.682688959266156,0.00713101411444248,0.38955265910370906,0.5818092239751128,0.20495149663566006,0.2280553544130662,0.6821546383458041,1.4133383918023505,False,"{'hint': 0.0005, 'scaffold': 0.4357, 'encouragement': 0.1586, 'simplify_problem': 0.088, 'harder_problem': 0.246, 'break': 0.0, 'explanation': 0.0018, 'no_action': 0.0695}",[],False
d57b7c657be8,42,50000,1000,30.4,0.0003,32,10000,5000,0.2,0.05,3.4163493009118198,0.168,0.4363901668540113,0.6060809670186884,0.5939933538655459,0.006114156464132619,0.4795021080104397,0.5815433654964968,0.19572636008173822,0.27450311182493475,0.5934952820718731,1.5033603200771641,False,"{'hint': 0.0, 'scaffold': 0.4019, 'encouragement': 0.1323, 'simplify_problem': 0.132, 'harder_problem': 0.1916, 'break': 0.0015, 'explanation': 0.0, 'no_action': 0.1407}",[],False
7877643ff293,42,50000,1000,30.3,0.0003,32,10000,5000,0.3,0.01,3.5310205649464335,0.063,0.3833599522770836,0.5728065253238189,0.3370433303678768,0.005431625889185199,0.4390204833510202,0.567108049845637,0.17770796734876598,0.38852291612438183,0.3374847325951585,1.3611239408904865,False,"{'hint': 0.0008, 'scaffold': 0.3364, 'encouragement': 0.2425, 'simplify_problem': 0.0007, 'harder_problem': 0.0003, 'break': 0.1456, 'explanation': 0.2733, 'no_action': 0.0004}",[],False
1908556c9d82,42,50000,1000,30.3,0.0003,32,10000,5000,0.3,0.05,3.495343810319203,0.036,0.31847635983146944,0.5271093821460695,0.46422591362126253,0.004513476901953398,0.48857497298811475,0.5829878847225457,0.1851810070975604,0.5026011445035816,0.46894633638801075,1.2841762155457455,False,"{'hint': 0.0054, 'scaffold': 0.4614, 'encouragement': 0.0624, 'simplify_problem': 0.0284, 'harder_problem': 0.0021, 'break': 0.1124, 'explanation': 0.0, 'no_action': 0.3278}",[],False
dd4da44008fd,42,50000,1000,30.0,0.0003,32,10000,5000,0.5,0.1,3.3681140769166533,0.128,0.39126094734640626,0.5739259908160188,0.47318013242100027,0.005463996575378646,0.5723341089625291,0.5762123679152337,0.18522851887326305,0.23834550268795632,0.4725186552194496,1.6781578830914166,False,"{'hint': 0.0, 'scaffold': 0.2616, 'encouragement': 0.1803, 'simplify_problem': 0.2221, 'harder_problem': 0.2109, 'break': 0.0023, 'explanation': 0.067, 'no_action': 0.0557}",[],False
b3b2bac3826d,42,50000,1000,30.3,0.0003,32,10000,5000,0.5,0.05,2.9899386647184683,0.019,0.23823942811439788,0.4708077709481986,0.18482782608695658,0.0033857296065276416,0.6887751020081606,0.5488198912061277,0.15441514175360987,0.40645251620129613,0.18485478838307065,1.805700395705681,False,"{'hint': 0.0, 'scaffold': 0.1423, 'encouragement': 0.0586, 'simplify_problem': 0.2706, 'harder_problem': 0.0425, 'break': 0.2116, 'explanation': 0.1381, 'no_action': 0.1363}",[],False
6b8a1bb8f0f0,42,50000,1000,30.5,0.0003,32,10000,5000,0.3,0.1,3.1575326331305678,0.02,0.2703558291112372,0.4937404113427481,0.15234727272727275,0.0038445729047986857,0.6671400568068169,0.5605826371855632,0.1673312999169459,0.33023962875545065,0.1379165499859983,1.6624760084678722,False,"{'hint': 0.0015, 'scaffold': 0.0938, 'encouragement': 0.1851, 'simplify_problem': 0.2081, 'harder_problem': 0.0426, 'break': 0.0024, 'explanation': 0.3237, 'no_action': 0.1428}",[],False
a5ea9368da5b,42,50000,1000,30.5,0.0003,32,10000,5000,0.5,0.01,3.132944345181458,0.01,0.22722216073863372,0.4654060318497015,0.29043787234042556,0.003277620623426584,0.6425785547132828,0.5641762238655055,0.17614881138198288,0.5373522411344681,0.2904374262455747,1.2092325544972449,False,"{'hint': 0.0, 'scaffold': 0.2393, 'encouragement': 0.0076, 'simplify_problem': 0.1621, 'harder_problem': 0.0511, 'break': 0.0, 'explanation': 0.0101, 'no_action': 0.5298}",[],False
92f168cfaa5d,42,50000,1000,31.3,0.0003,32,50000,500,0.1,0.01,2.205236199846714,0.374,0.6031739357648198,0.722949896371921,0.6347365697372859,0.008584190149753082,0.23478367147396725,0.5808709342114224,0.25994100735204034,0.24117982563350443,0.7568646622667644,1.0188659761946621,False,"{'hint': 0.0, 'scaffold': 0.0669, 'encouragement': 0.1468, 'simplify_problem': 0.002, 'harder_problem': 0.69, 'break': 0.0444, 'explanation': 0.0, 'no_action': 0.0499}",[],False
