configuration,configuration_label,algorithm,seed,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,irt_beta,elapsed_seconds,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,actions_used_above_1_percent,actions_used_above_5_percent,dominant_action_pct,top2_actions_pct,dominance_detected,mean_q_value,max_q_value,q_value_variance,mean_selected_q,overestimation_bias,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action
B_double_dqn,Double DQN (B),DoubleDQN,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s99/double_dqn_10000_steps.zip,0.4905206986601892,10:1,3.0,30.1,0.4729423831091534,0.6386624798606807,0.178,0.4403838923549493,2.1563541425767108,0.0,1.6200242436881105,7,5,0.3564980138827589,0.6598322834329735,False,0.032652924523186,0.0476410518420983,0.0008831591433436,0.0476410518420983,-0.8201883579357742,0.122056,0.356498,0.041167,0.067528,0.067688,0.001244,0.303334,0.040485
B_double_dqn,Double DQN (B),DoubleDQN,314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s314/double_dqn_50000_steps.zip,0.5852881339278916,10:1,3.0,30.1,0.5483618795855663,0.6828199871492668,0.348,0.7427933857767863,2.2183437486444113,0.0,1.326271802950714,5,4,0.3767764857881137,0.7414001937984496,False,1.0269174981840845,1.0395912074835738,0.0071290385531,1.0395912074835738,0.0546663923067058,0.010134,0.376776,0.100129,0.141998,0.364624,0.000727,0.004885,0.000727
B_double_dqn,Double DQN (B),DoubleDQN,555,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s555/double_dqn_40000_steps.zip,0.5846361755705991,10:1,3.0,30.3,0.6323595773961341,0.7380265571377406,0.424,0.974074739229025,1.3154748758056496,0.0,0.7788079707901459,3,2,0.6110795684970395,0.9737204963906236,False,0.6964639745138774,0.7334242245348851,0.0104111489342391,0.7334242245348851,0.2337704671081005,0.02117,0.362641,0.004704,0.0,0.61108,0.0,0.0,0.000406
B_double_dqn,Double DQN (B),DoubleDQN,777,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s777/double_dqn_40000_steps.zip,0.6105083499316671,10:1,3.0,31.7,0.594637610572777,0.7137742411978198,0.328,0.8154829182096485,1.4957694106994626,0.0,1.2840254504202269,6,4,0.4826640864376713,0.8146266731172391,False,0.8739062259204624,0.8962396033114228,0.014776722966073,0.8962396033114228,0.2080122761980163,0.057894,0.331963,0.051322,0.035357,0.482664,0.0,4e-05,0.04076
B_double_dqn,Double DQN (B),DoubleDQN,888,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s888/double_dqn_30000_steps.zip,0.615931448145068,10:1,3.0,30.5,0.599444252210587,0.7217420742307752,0.392,0.6515696593013159,2.326025687204314,0.0,1.370290588695113,6,4,0.4486842637131654,0.7003516714499374,False,0.6178075351911234,0.6343813696249718,0.0052150715542003,0.6343813696249718,-0.3527820748046457,0.007074,0.448684,0.052791,0.016573,0.20215,0.000121,0.251667,0.020939
B_double_dqn,Double DQN (B),DoubleDQN,999,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s999/double_dqn_30000_steps.zip,0.607404626410229,10:1,3.0,29.7,0.5835336916438004,0.708721026009448,0.34,0.7558829934216666,2.0297106211378706,0.0,1.3451443055725891,5,4,0.4959815839424902,0.754937199628448,False,0.6040225661412345,0.6282036115875897,0.0077045480546506,0.6282036115875897,-0.2500784232808554,0.009208,0.495982,0.035419,0.004119,0.258956,0.001656,0.10569,0.088971
B_double_dqn,Double DQN (B),DoubleDQN,500,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s500/double_dqn_10000_steps.zip,0.5850147560518496,10:1,3.0,29.9,0.6053570646571548,0.7231133094905923,0.386,0.553632237950726,2.398445970417106,0.0,1.4033458004251915,5,4,0.3862369760116307,0.679185849285195,False,0.3111081155292793,0.3264878434981994,0.0006614125673724,0.3264878434981994,-0.7120863778832393,0.113157,0.386237,0.041071,0.0,0.166586,0.0,0.292949,0.0
B_double_dqn,Double DQN (B),DoubleDQN,1234,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s1234/double_dqn_20000_steps.zip,0.4546495132851877,10:1,3.0,30.3,0.4792634791277915,0.6374205865306619,0.188,0.5685351867315928,2.3620476755309783,0.0,1.620979030272936,7,5,0.4237397326461588,0.5825414720566919,False,0.4203335157442404,0.4308718747780168,0.0032560147786805,0.4308718747780168,-0.6003884315966079,0.009019,0.42374,0.147004,0.034748,0.143662,0.014535,0.158802,0.068489
B_double_dqn,Double DQN (B),DoubleDQN,2024,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s2024/double_dqn_10000_steps.zip,0.5805274066333425,10:1,3.0,30.7,0.5714888143230935,0.6986483309697229,0.342,0.7068926273957924,2.391167433896996,0.0,1.3293624663225785,5,4,0.5003437259897286,0.7054470459784059,False,0.2425538875036342,0.2628344723074363,0.001432350589037,0.2628344723074363,-0.7693673380398752,0.01755,0.500344,0.106595,0.0,0.205103,0.003235,0.15961,0.007562
B_double_dqn,Double DQN (B),DoubleDQN,5555,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s5555/double_dqn_10000_steps.zip,0.5117795834076645,10:1,3.0,29.9,0.4898801133987088,0.6425354772676956,0.202,0.5511493324205714,2.478335772198026,0.0,1.522148986893192,7,6,0.4713488334738786,0.6805204192265992,False,0.1678022996135996,0.1800701580282598,0.0011577954662245,0.1800701580282598,-0.8836001865951257,0.014255,0.471349,0.067863,0.050757,0.078946,0.000964,0.209172,0.106694
