configuration,configuration_label,seed,train_population,eval_population,eval_population_label,checkpoint,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate
B_double_dqn,Double DQN (B),2024,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s2024/double_dqn_10000_steps.zip,0.6323096603275266,0.7400111126671955,0.312,0.7207487605297195,2.353240756909064,0.0
B_double_dqn,Double DQN (B),5555,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s5555/double_dqn_10000_steps.zip,0.4898801133987088,0.6425354772676956,0.202,0.5511493324205714,2.478335772198026,0.0
B_double_dqn,Double DQN (B),5555,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s5555/double_dqn_10000_steps.zip,0.5340931029133275,0.6749557408687706,0.162,0.5787275617746097,2.5006699898637974,0.0
B_double_dqn,Double DQN (B),8888,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s8888/double_dqn_30000_steps.zip,0.6272643076701777,0.7384098957375106,0.408,0.6992631367452843,2.080925407680157,0.0
B_double_dqn,Double DQN (B),8888,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s8888/double_dqn_30000_steps.zip,0.6905933608454604,0.7851293309677382,0.426,0.7345014264590891,2.064380346571121,0.0
B_double_dqn,Double DQN (B),9999,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s9999/double_dqn_20000_steps.zip,0.5132885522333172,0.6615856225785346,0.228,0.5936481233994815,2.4149438400081893,0.0
B_double_dqn,Double DQN (B),9999,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s9999/double_dqn_20000_steps.zip,0.5677021925560437,0.6983722140192533,0.194,0.6006386902778079,2.438482859515052,0.0
B_double_dqn,Double DQN (B),10101,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s10101/double_dqn_10000_steps.zip,0.6340472180082408,0.7452930048749815,0.45,0.6869266386217857,2.3286354839124144,0.0
B_double_dqn,Double DQN (B),10101,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s10101/double_dqn_10000_steps.zip,0.6790891131485934,0.7769632537793785,0.404,0.698558367766833,2.2925142448702474,0.0
B_double_dqn,Double DQN (B),20202,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s20202/double_dqn_50000_steps.zip,0.5806308135329097,0.7087074406468395,0.348,0.6322801231391537,1.9770201319515128,0.0
B_double_dqn,Double DQN (B),20202,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s20202/double_dqn_50000_steps.zip,0.6366736447848258,0.7474455283657451,0.342,0.6332937492265351,1.96536211277191,0.0
B_double_dqn,Double DQN (B),30303,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s30303/double_dqn_20000_steps.zip,0.5246962547996422,0.6626228460687286,0.278,0.5922982875973287,2.231271721786079,0.0
B_double_dqn,Double DQN (B),30303,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s30303/double_dqn_20000_steps.zip,0.5714341093030266,0.6923944014847362,0.232,0.5796161481065986,2.235289820960277,0.0
B_double_dqn,Double DQN (B),4242,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s4242/double_dqn_10000_steps.zip,0.5218994349861137,0.668397547760685,0.298,0.618177149020747,2.494549604795092,0.0
B_double_dqn,Double DQN (B),4242,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s4242/double_dqn_10000_steps.zip,0.5561904330218654,0.6897803815584893,0.208,0.6156422248811182,2.517459721260285,0.0
A_standard_dqn,Standard DQN (A),42,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s42/dqn_20000_steps.zip,0.5040489380896338,0.6563617568702184,0.228,0.5144874826209284,1.988962667365955,0.0
A_standard_dqn,Standard DQN (A),42,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s42/dqn_20000_steps.zip,0.566046349601924,0.69849119870044,0.184,0.5357046826695763,1.8605129390159416,0.0
A_standard_dqn,Standard DQN (A),7,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s7/dqn_50000_steps.zip,0.5221200268949555,0.6729902264815798,0.27,0.4488874737695955,2.06533682368949,0.0
A_standard_dqn,Standard DQN (A),7,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s7/dqn_50000_steps.zip,0.6024337372547297,0.7283259150998295,0.22,0.498184787181455,1.8597856572602456,0.0
